,ds,TMAX_30avg,TMIN_30avg,TOBS_30avg,PDO,AMO,y,PRCP
69,1945-01-29,36.266666666666666,14.333333333333334,21.166666666666668,-0.2029032258064516,0.2981935483870968,24.599999999999994,0.0
70,1945-01-30,36.03333333333333,14.6,21.533333333333335,-0.21096774193548387,0.3010645161290323,18.599999999999994,0.0
71,1945-01-31,36.03333333333333,14.933333333333334,21.7,-0.21903225806451612,0.30393548387096775,18.599999999999994,0.0
72,1945-02-01,36.333333333333336,15.133333333333333,21.933333333333334,-0.22709677419354837,0.30680645161290326,20.599999999999994,0.0
73,1945-02-02,36.4,15.4,22.133333333333333,-0.23516129032258062,0.3096774193548387,25.599999999999994,0.9
74,1945-02-03,36.43333333333333,15.466666666666667,22.166666666666668,-0.2432258064516129,0.31254838709677424,33.599999999999994,1.28
75,1945-02-04,35.833333333333336,15.266666666666667,21.966666666666665,-0.25129032258064515,0.3154193548387097,36.599999999999994,0.48
76,1945-02-05,35.6,15.3,22.233333333333334,-0.2593548387096774,0.31829032258064516,30.599999999999994,0.0
77,1945-02-06,35.7,15.066666666666666,21.8,-0.2674193548387097,0.3211612903225807,34.599999999999994,0.48
78,1945-02-07,35.7,14.433333333333334,21.433333333333334,-0.27548387096774196,0.3240322580645162,35.099999999999994,0.19
79,1945-02-08,35.56666666666667,14.266666666666667,21.533333333333335,-0.2835483870967742,0.32690322580645165,35.099999999999994,0.0
80,1945-02-09,35.2,13.866666666666667,20.766666666666666,-0.29161290322580646,0.3297741935483871,42.099999999999994,0.51
81,1945-02-10,34.7,13.6,20.633333333333333,-0.2996774193548387,0.3326451612903226,42.099999999999994,0.0
82,1945-02-11,34.56666666666667,13.433333333333334,20.566666666666666,-0.30774193548387097,0.3355161290322581,43.099999999999994,0.0
83,1945-02-12,33.93333333333333,13.433333333333334,20.466666666666665,-0.3158064516129032,0.3383870967741936,44.99999999999999,0.24
84,1945-02-13,33.4,13.333333333333334,20.5,-0.32387096774193547,0.34125806451612906,48.99999999999999,0.54
85,1945-02-14,33.03333333333333,13.533333333333333,20.233333333333334,-0.3319354838709677,0.34412903225806457,51.99999999999999,0.39
86,1945-02-15,32.766666666666666,13.2,19.766666666666666,-0.34,0.34700000000000003,44.99999999999999,0.0
87,1945-02-16,32.833333333333336,13.133333333333333,19.666666666666668,-0.33,0.3475714285714286,44.99999999999999,0.0
88,1945-02-17,32.5,13.1,19.666666666666668,-0.32,0.3481428571428572,42.99999999999999,0.0
